cell_hash,B,T_max_s,k,lambda_bg,user_idx,days_to_fp_alpha,days_to_fp_censored,intersect_final,rep_acc_final,posterior_R_final
46d629fd4cd2,256,300,3,100,0,7,True,847,1.0,0.015947893078548877
46d629fd4cd2,256,300,3,100,1,7,True,270,0.8,0.011441440183807017
46d629fd4cd2,256,300,3,100,2,7,True,283,1.0,0.05424715152184335
46d629fd4cd2,256,300,3,100,3,7,True,253,0.9,0.0346919108353765
46d629fd4cd2,256,300,3,100,4,7,True,1020,0.7,0.009103101976602957
46d629fd4cd2,256,300,3,100,5,7,True,1277,0.9,0.002464120596226207
46d629fd4cd2,256,300,3,100,6,7,True,422,0.8,0.015139826109772842
46d629fd4cd2,256,300,3,100,7,7,True,1269,1.0,0.0038347698321309297
46d629fd4cd2,256,300,3,100,8,7,True,659,0.8,0.01184477909109755
46d629fd4cd2,256,300,3,100,9,7,True,515,0.7,0.016926005324010895
46d629fd4cd2,256,300,3,100,10,7,True,276,0.9,0.0242174876228277
46d629fd4cd2,256,300,3,100,11,7,True,260,0.8,0.02016823222609484
46d629fd4cd2,256,300,3,100,12,7,True,931,0.6,0.006837855115103618
46d629fd4cd2,256,300,3,100,13,7,True,279,0.8,0.006784916403213482
46d629fd4cd2,256,300,3,100,14,7,True,811,0.8,0.020723268522634758
46d629fd4cd2,256,300,3,100,15,7,True,532,0.9,0.022023861867163163
46d629fd4cd2,256,300,3,100,16,7,True,458,0.9,0.01776728516736976
46d629fd4cd2,256,300,3,100,17,7,True,1573,1.0,0.003852692076916252
46d629fd4cd2,256,300,3,100,18,7,True,514,0.9,0.015234920006115713
46d629fd4cd2,256,300,3,100,19,7,True,430,0.9,0.002810049125771118
46d629fd4cd2,256,300,3,100,20,7,True,300,0.8,0.009451804240206819
46d629fd4cd2,256,300,3,100,21,7,True,1010,1.0,0.005196079047333525
46d629fd4cd2,256,300,3,100,22,7,True,1067,0.9,0.03190901536592417
46d629fd4cd2,256,300,3,100,23,7,True,447,0.8,0.038742702973815525
46d629fd4cd2,256,300,3,100,24,7,True,605,0.8,0.017747492531953016
46d629fd4cd2,256,300,3,100,25,7,True,314,0.9,0.014209001261903867
46d629fd4cd2,256,300,3,100,26,7,True,383,1.0,0.015168203008173372
